"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp toolX:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"santanig5","success","17.04.2021 07:49","17.04.2021 08:46","57m15s","Dome_Axle_with_6.9mm_hole.gcode","Dome_Axle_with_6.9mm_hole.gcode","1543599","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1129.22","-","-"
"santanig5","success","17.04.2021 07:49","17.04.2021 08:46","57m15s","Dome_Axle_with_6.9mm_hole.gcode","Dome_Axle_with_6.9mm_hole.gcode","1543599","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1129.22","-","-"
"santanig5","success","17.04.2021 06:40","17.04.2021 07:37","57m9s","Dome_Axle_with_7mm_hole.gcode","Dome_Axle_with_7mm_hole.gcode","1550369","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1107.79","-","-"
"santanig5","success","17.04.2021 06:40","17.04.2021 07:37","57m9s","Dome_Axle_with_7mm_hole.gcode","Dome_Axle_with_7mm_hole.gcode","1550369","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1107.79","-","-"
"santanig5","success","16.04.2021 21:21","16.04.2021 22:19","57m24s","Dome_Axle_with_6.6mm_hole.gcode","Dome_Axle_with_6.6mm_hole.gcode","1571948","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1136.67","-","-"
"santanig5","success","16.04.2021 21:21","16.04.2021 22:19","57m24s","Dome_Axle_with_6.6mm_hole.gcode","Dome_Axle_with_6.6mm_hole.gcode","1571948","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1136.67","-","-"
"santanig5","success","16.04.2021 20:11","16.04.2021 21:12","1h0m34s","Dome_Axle_with_6.5mm_hole.gcode","Dome_Axle_with_6.5mm_hole.gcode","1731875","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1205.99","-","-"
"santanig5","success","16.04.2021 20:11","16.04.2021 21:12","1h0m34s","Dome_Axle_with_6.5mm_hole.gcode","Dome_Axle_with_6.5mm_hole.gcode","1731875","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1205.99","-","-"
"santanig5","success","16.04.2021 19:01","16.04.2021 19:57","56m33s","Dome_Axle_with_6mm_hole.gcode","Dome_Axle_with_6mm_hole.gcode","1485664","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1162.05","-","-"
"santanig5","success","16.04.2021 19:01","16.04.2021 19:57","56m33s","Dome_Axle_with_6mm_hole.gcode","Dome_Axle_with_6mm_hole.gcode","1485664","170 / 170","36.0 / 33.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","1162.05","-","-"
"santanig5","success","16.04.2021 17:27","16.04.2021 17:44","16m38s","Hitech_Servo_Arm_for_R2_Center_Lift_v2.gcode","Hitech_Servo_Arm_for_R2_Center_Lift_v2.gcode","545997","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.38","-","-"
"santanig5","success","16.04.2021 17:27","16.04.2021 17:44","16m38s","Hitech_Servo_Arm_for_R2_Center_Lift_v2.gcode","Hitech_Servo_Arm_for_R2_Center_Lift_v2.gcode","545997","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.38","-","-"
"santanig5","success","16.04.2021 16:14","16.04.2021 16:30","16m38s","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","549064","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.69","-","-"
"santanig5","success","16.04.2021 16:14","16.04.2021 16:30","16m38s","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","549064","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.69","-","-"
"santanig5","success","16.04.2021 15:32","16.04.2021 15:49","16m37s","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","549064","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.69","-","-"
"santanig5","success","16.04.2021 15:32","16.04.2021 15:49","16m37s","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","Hitech_Servo_Arm_for_R2_Center_Lift.gcode","549064","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","444.69","-","-"
"santanig5","success","16.04.2021 14:53","16.04.2021 15:10","16m54s","MG995_Servo_Horn.gcode","MG995_Servo_Horn.gcode","550890","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","436.58","-","-"
"santanig5","success","16.04.2021 14:53","16.04.2021 15:10","16m54s","MG995_Servo_Horn.gcode","MG995_Servo_Horn.gcode","550890","35 / 35","9.0 / 6.8","-","bed:65.0 tool0:220.0 ","-","-","-","-","-","-","436.58","-","-"
"-","success","15.04.2021 14:49","16.04.2021 11:03","18d23h9m0s","Body Parts.gcode","-","-","0 / 0","0.0 / 0.0"," ","bed:65 tool0:220 ","GST3D","White #3","PLA+","-","-","40030.00","0.00","-","12.00"
"-","success","15.04.2021 14:49","16.04.2021 11:03","18d23h9m0s","Body Parts.gcode","-","-","0 / 0","0.0 / 0.0","-","bed:65.0 tool0:220.0 ","GST3D","White #3","PLA+","-","-","40030.00","0.00","-","12.00"
